No.,Time,Source,Destination,Protocol,Length,Info,Frame Type,Frame Control Field
10468,2370.809937,00:04:a3:51:a2:01:ae:73,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10469,2370.814927,00:04:9f:ed:ea:ca:43:74,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10470,2370.86644,00:04:9f:ed:ea:ca:43:74,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10471,2370.871476,00:0b:57:8b:c1:76:65:38,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10472,2370.922729,00:0b:57:8b:c1:76:65:38,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10473,2370.927574,00:0b:57:d7:7f:1c:69:75,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10474,2370.979106,00:0b:57:d7:7f:1c:69:75,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10475,2370.984097,00:12:4b:a5:20:55:2e:f2,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10476,2371.035688,00:12:4b:a5:20:55:2e:f2,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10477,2371.040727,00:0b:57:ef:20:8b:68:46,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10478,2371.092073,00:0b:57:ef:20:8b:68:46,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10479,2371.097072,00:04:9f:9f:74:c2:d8:51,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10480,2371.148596,00:04:9f:9f:74:c2:d8:51,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10481,2371.153519,00:04:25:23:38:1d:46:64,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10482,2371.205107,00:04:25:23:38:1d:46:64,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10483,2371.210294,00:30:66:4a:7d:9b:74:3b,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10484,2371.261793,00:30:66:4a:7d:9b:74:3b,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10485,2371.266918,00:12:4b:90:6d:47:11:89,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10486,2371.31872,00:12:4b:90:6d:47:11:89,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10487,2371.323813,00:0b:57:26:9b:da:85:51,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10488,2371.375194,00:0b:57:26:9b:da:85:51,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10489,2371.380194,00:0d:6f:9b:4a:6f:92:36,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10490,2371.431835,00:0d:6f:9b:4a:6f:92:36,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10491,2371.436943,00:21:ed:7a:24:ea:0b:0f,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10492,2371.488446,00:21:ed:7a:24:ea:0b:0f,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10493,2371.493465,00:30:66:c7:67:14:26:35,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10494,2371.544965,00:30:66:c7:67:14:26:35,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10495,2371.550105,00:0d:6f:56:44:c1:bc:57,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10496,2371.601853,00:0d:6f:56:44:c1:bc:57,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10497,2371.606685,00:11:7d:dc:44:b1:2c:5a,0x0000,IEEE 802.15.4,22,"Association Request, RFD, Bad FCS",0x00000003,0x0000c823
10498,2371.658189,00:11:7d:dc:44:b1:2c:5a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10499,2371.663185,00:04:25:1b:65:fa:54:2f,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10500,2371.71499,00:04:25:1b:65:fa:54:2f,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10501,2371.719925,00:21:ed:82:55:46:f9:31,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10502,2371.771412,00:21:ed:82:55:46:f9:31,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10503,2371.776537,00:a0:50:9b:ba:a2:0c:9a,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10504,2371.828039,00:a0:50:9b:ba:a2:0c:9a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10505,2371.833049,00:0b:57:7c:25:d3:35:7a,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10506,2371.884957,00:0b:57:7c:25:d3:35:7a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10507,2371.890045,00:a0:50:50:b4:65:33:cc,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10508,2371.941313,00:a0:50:50:b4:65:33:cc,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10509,2371.946447,00:0b:57:96:22:e5:a8:75,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10510,2371.998226,00:0b:57:96:22:e5:a8:75,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10511,2372.003215,00:a0:50:56:ca:62:72:8d,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10512,2372.054715,00:a0:50:56:ca:62:72:8d,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10513,2372.059683,00:13:a2:89:d7:b3:76:54,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10514,2372.111582,00:13:a2:89:d7:b3:76:54,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10515,2372.116561,00:30:66:42:85:37:e3:2b,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10516,2372.168164,00:30:66:42:85:37:e3:2b,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10517,2372.173183,00:0b:57:fd:56:e7:96:09,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10518,2372.224878,00:0b:57:fd:56:e7:96:09,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10519,2372.229786,00:04:9f:5c:ba:13:f3:ac,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10520,2372.28141,00:04:9f:5c:ba:13:f3:ac,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10521,2372.286545,00:04:a3:bf:26:64:a1:9c,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10522,2372.338034,00:04:a3:bf:26:64:a1:9c,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10523,2372.34316,00:21:ed:37:37:6a:9e:13,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10524,2372.394926,00:21:ed:37:37:6a:9e:13,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10525,2372.399925,00:04:a3:53:22:96:6c:c8,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10526,2372.451293,00:04:a3:53:22:96:6c:c8,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10527,2372.456539,00:21:ed:11:f9:0a:bb:2c,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10528,2372.507792,00:21:ed:11:f9:0a:bb:2c,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10529,2372.512914,00:21:ed:bc:d3:c2:e7:fb,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10530,2372.564669,00:21:ed:bc:d3:c2:e7:fb,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
